[08/14/20 13:00:24] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:00:57] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:01:57] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:04:25] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:09:32] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:09:46] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:11:57] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:16:53] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:18:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/14/20 13:18:24] [INFO] received Windows console close event; shutting log-core down
[08/14/20 13:18:32] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/14/20 13:18:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/14/20 16:25:40] [INFO] received Windows console close event; shutting log-core down
[08/14/20 16:25:55] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:05:02] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:07:56] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:11:30] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:18:05] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:19:55] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:26:03] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:26:20] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:35:34] [INFO] received Windows console close event; shutting log-core down
[08/14/20 18:59:32] [INFO] received Windows console close event; shutting log-core down
[08/14/20 19:01:13] [INFO] received Windows console close event; shutting log-core down
[08/14/20 23:36:05] [INFO] received Windows console close event; shutting log-core down
[08/14/20 23:57:41] [INFO] received Windows console close event; shutting log-core down
[08/15/20 00:04:36] [INFO] received Windows console close event; shutting log-core down
[08/15/20 00:20:16] [INFO] received Windows console close event; shutting log-core down
[08/15/20 12:46:01] [INFO] received Windows console close event; shutting log-core down
[08/15/20 12:54:18] [INFO] received Windows console close event; shutting log-core down
[08/15/20 13:00:08] [INFO] received Windows console close event; shutting log-core down
[08/15/20 13:03:25] [INFO] received Windows console close event; shutting log-core down
[08/15/20 13:07:42] [INFO] received Windows console close event; shutting log-core down
[08/15/20 13:14:15] [INFO] received Windows console close event; shutting log-core down
